smiles,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2
OC(CCc1ccc(O)cc1)=NCCc1ccccc1,-0.774959,0.406882,-0.245336,-0.211953,0.001211,-0.201076,-0.266588
OC(CCc1ccc(O)cc1)=NCCc1cccc(F)c1,-0.793002,0.400811,-0.275149,-0.199317,0.001967,-0.210595,-0.247256
CCOCCCN=C(O)CCc1ccc(O)cc1,-0.763024,0.406114,-0.24249,-0.211557,0.009971,-0.205097,-0.281891
CCCN=C(O)CCc1ccc(O)cc1,-0.763035,0.409165,-0.281582,-0.202311,0.002527,-0.206188,-0.242815
CCCc1cc(O)ccc1OCCCCN1CCN(Cc2ccc(Cl)cc2)CC1,-0.770699,0.407267,-0.241538,-0.259366,0.40244,-0.005778,-0.305481
O=S(=O)(NCc1ccc(Cl)cc1Cl)c1ccc(O)cc1,-0.74911,0.436452,-0.293348,-0.124175,-0.361457,-0.154204,-0.251983
Cc1ccc(CNS(=O)(=O)c2ccc(O)cc2)cc1,-0.750319,0.43366,-0.251132,-0.15703,-0.345604,-0.13751,-0.291217
O=S(=O)(NCCc1ccccc1)c1ccc(O)cc1,-0.751905,0.433071,-0.252879,-0.155701,-0.348624,-0.133395,-0.295549
O=C(O)CC(CC(=O)c1ccc(O)cc1)C(=O)O,-0.752127,0.433836,-0.297612,-0.149693,-0.146357,-0.183214,-0.259369
CCCc1cc(OCCCCN2CCN(Cc3ccc(Cl)cc3)CC2)ccc1O,-0.776489,0.367128,-0.256384,-0.24678,0.433545,-0.303516,0.002459
COc1ccc(C2=Nn3c(CCc4ccc(O)cc4)nnc3SC2)cc1,-0.764511,0.402742,-0.281591,-0.193612,0.00627,-0.211418,-0.256822
COc1cccc(C(=O)C=CNc2cc(C)ccc2O)c1,-0.770887,0.364785,-0.229708,-0.220051,0.031474,-0.247561,0.283172
Cc1cc(=Nc2cccc(O)c2)c2cc(Cl)ccc2[nH]1,-0.767795,0.431908,-0.267939,-0.1758,-0.26445,0.284388,-0.322866
O=C(O)CCC(=Cc1cccc(O)c1)c1nc2ccccc2s1,-0.782707,0.416616,-0.243406,-0.187162,-0.241918,0.037935,-0.331184
COc1cccc(OCC(O)=NN=Cc2ccc(O)c(OC)c2)c1,-0.769081,0.383096,-0.248653,-0.209057,-0.045118,-0.251064,0.375137
Oc1ccc(CCc2nnc3n2N=C(c2ccc(Cl)cc2)CS3)cc1,-0.764486,0.402242,-0.258241,-0.211791,0.006458,-0.193072,-0.281937
O=C(C=Cc1ccc(O)cc1)c1cccs1,-0.754262,0.422829,-0.250536,-0.180782,-0.012579,-0.191423,-0.291995
