smiles,HOMO
CCCCc1ccc(O)cc1,-7.342724176
CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,-7.182993258
COc1cc(C(C)=O)ccc1O,-7.773480638
COc1cc(C#N)ccc1O,-7.77973926
COC(=O)c1ccc(O)c(OC)c1,-7.4967407
Cc1ccc(O)c(C)c1,-7.21918442
CC(C)c1ccc(O)cc1,-7.36340484
CCc1ccc(O)cc1,-7.361227928
CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,-7.285580236
CCCc1ccc(O)cc1,-7.34979914
Cc1ccc(C(C)(C)C)c(O)c1,-7.376194198
Cc1ccc(O)c(C(C)(C)C)c1,-7.261906318
CCCc1ccc(O)c(OC)c1,-6.994962484
Oc1ccccc1,-7.612933378
Cc1ccc(O)cc1,-7.34979914
CC(C)(C)c1ccc(O)cc1,-7.359867358
Cc1cc(O)cc(C)c1Cl,-7.485584026
COc1cc(C(O)C(CO)Oc2ccccc2OC)ccc1O,-7.052378538
CC(C)(C)c1ccccc1O,-7.495924358
Cc1cc(C)c(C)c(O)c1,-7.25728038
COc1ccc(O)cc1OC,-7.073875544
CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,-7.325853108
CC(=O)Nc1ccc(O)cc1,-7.007207614
Cc1cc(C(C)(C)C)ccc1O,-7.24503525
COc1cc(O)c(C(C)=O)c(OC)c1,-7.536741458
COc1ccc(O)c(C=O)c1,-7.363676954
CCOC(=O)c1ccc(O)cc1,-7.917428944
COC(=O)c1cc(C)ccc1O,-7.505992576
Cc1ccc(C(C)C)c(O)c1,-7.331839616
Cc1ccc(O)c(Br)c1,-7.613205492
Oc1ccccc1C(F)(F)F,-8.15661715
Cc1cc(C)cc(O)c1,-7.413473816
Cc1cc(O)cc(C)c1C,-7.148162666
Oc1ccc(OCc2ccccc2)cc1,-7.047480486
CCc1cc(C)c(C)cc1O,-7.107889794
COC(=O)Cc1ccc(O)cc1,-7.535925116
CCc1ccc(O)c(C(C)(C)C)c1,-7.27088608
COc1cc(CCC(C)=O)ccc1O,-6.977547188
CC(=O)c1cc(C)ccc1O,-7.54163951
COC(=O)C(Cc1ccc(O)cc1)NC(=O)OCc1ccccc1,-7.319322372
COC(=O)C(Cc1ccc(O)cc1)NC(C)=O,-7.411296904
CCCCCc1ccc(O)cc1,-7.341363606
COc1ccccc1O,-7.181904802
Cc1ccc(O)cc1C,-7.241225654
Cc1ccc(O)c(Cl)c1,-7.63960055
COC(=O)c1ccc(O)c(C=O)c1,-8.388186164
CCC(=O)c1ccc(O)c(OC)c1,-7.513883882
COc1cc(CCO)ccc1O,-7.193877818
Cc1cccc(O)c1,-7.50626469
Oc1ccc(Oc2ccccc2)cc1,-7.320138714
CCOC(=O)c1cc(C)ccc1O,-7.482590772
CC(C)(C)OC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-7.297009024
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,-6.97428182
CC(=O)CCc1ccc(O)cc1,-7.358778902
COc1cc(CO)ccc1O,-7.199047984
COc1ccc(O)c(C)c1,-6.89400819
Cc1cc(Cl)ccc1O,-7.571299936
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,-7.322315626
Oc1ccc(Cl)cc1,-7.705724252
COc1cc(CCN)ccc1O,-7.02462291
CCOC(=O)C=Cc1ccc(O)c(OC)c1,-7.13618965
Cc1ccc(O)c(F)c1,-7.570483594
O=C(NC(Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1,-7.359867358
OCCc1ccc(O)cc1,-7.586266206
COc1cc(C(C)(C)C)ccc1O,-7.027888278
COc1cc(C(=O)O)ccc1O,-7.888040632
CC(C)(C)c1ccc(O)c(C=O)c1,-7.703003112
CCc1ccc(O)c(OC)c1,-7.003125904
COC(=O)C=Cc1ccc(O)c(OC)c1,-7.150611692
CCOc1cc(C=O)ccc1O,-7.61374972
COC(=O)CCc1ccc(O)cc1,-7.388711442
Cc1ccccc1O,-7.45320246
Nc1ccccc1O,-7.386262416
Nc1ccc(O)cc1,-6.59604336
Oc1ccccc1F,-7.829536122
Oc1ccc(F)cc1,-7.648852426
O=Cc1ccccc1O,-8.103282806
COc1cccc(O)c1,-7.302451304
OCc1ccccc1O,-7.39197681
Cc1cc(F)ccc1O,-7.503815664
Oc1ccc(F)cc1F,-7.84776776
Oc1ccc(F)c(F)c1,-7.899197306
C=CCc1ccccc1O,-7.466536046
CC(=O)c1cccc(O)c1,-7.909537638
CCCc1ccccc1O,-7.46544759
NCCc1cccc(O)c1,-7.54708179
NCCc1ccc(O)cc1,-7.384085504
O=C(O)c1cccc(O)c1,-7.97157963
O=C(O)c1ccc(O)cc1,-8.040152358
CCOc1ccc(O)cc1,-6.955505954
Oc1ccc(Cl)cc1F,-7.916884716
Oc1ccc(F)cc1Cl,-7.88586372
Oc1ccc(F)c(F)c1F,-8.14165088
CCC(C)c1ccc(O)cc1,-7.369119234
O=C(O)Cc1ccc(O)cc1,-7.6055863
COC(=O)c1ccc(O)cc1,-7.935660582
CC(C)=CCc1ccc(O)cc1,-7.291838858
Oc1cc(Cl)cc(Cl)c1,-8.28451073
Oc1ccc(Cl)cc1Cl,-7.965321008
O=C(O)C=Cc1ccc(O)cc1,-7.515244452
CC=Cc1ccc(O)c(OC)c1,-6.714957178
CC(=O)Nc1ccc(O)cc1C,-6.916865766
CCC(=O)Nc1ccc(O)cc1,-7.024895024
O=C(O)CCc1ccc(O)cc1,-7.528850152
CCCCOc1ccc(O)cc1,-6.944621394
COc1cc(C(C)O)ccc1O,-7.169115444
Oc1ccccc1Br,-7.769126814
Oc1ccc(Br)cc1,-7.641777462
CCCCCCc1ccc(O)cc1,-7.340003036
CC(C)c1ccc(O)c(C(C)C)c1,-7.257008266
CCCC(=O)Nc1ccc(O)cc1,-7.02598348
COc1cc(C=CCO)ccc1O,-6.808564394
CC(C)OC(=O)c1ccc(O)cc1,-7.901374218
CCCOC(=O)c1ccc(O)cc1,-7.917973172
NC(Cc1ccc(O)cc1)C(=O)O,-7.515516566
COc1cc(CC(=O)O)ccc1O,-7.207483518
COC(=O)c1ccc(OC)c(O)c1,-7.472522554
Oc1ccc(Br)cc1F,-7.848856216
COc1cc(C=CC(C)=O)ccc1O,-7.138094448
COc1cc(C=CC(=O)O)ccc1O,-7.224354586
CCCCOC(=O)c1ccc(O)cc1,-7.906000156
CC(C)COC(=O)c1ccc(O)cc1,-7.920150084
CCCCCCOc1ccc(O)cc1,-6.941083912
COc1cc(CCC(=O)O)ccc1O,-7.03686804
CCCCCCCCc1ccc(O)cc1,-7.338642466
Oc1cc(Cl)cc(Br)c1,-8.257843558
O=CNC(Cc1ccc(O)cc1)C(=O)O,-7.45864474
O=C(O)CCC(=O)Nc1ccc(O)cc1,-6.884212086
COc1cc(C=NNC(N)=O)ccc1O,-6.934553176
NC(Cc1ccc(O)c(Cl)c1)C(=O)O,-7.759874938
CC(=O)NC(Cc1ccc(O)cc1)C(N)=O,-7.602593046
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-7.452386118
